step,colony_id,population,area,resources
1,0,5,1,0
2,0,3,5,20
3,0,3,7,40
4,0,3,9,60
5,0,3,12,90
6,0,3,13,100
7,0,4,16,80
8,0,5,18,50
9,0,5,20,70
10,0,6,23,50
11,0,6,26,80
12,0,7,31,80
13,0,7,34,110
14,0,8,36,80
15,0,9,38,50
16,0,9,41,80
17,0,10,44,60
18,0,10,50,120
19,0,11,55,120
20,0,12,60,120
21,0,13,66,160
22,0,14,69,220
23,0,15,74,220
24,0,16,78,210
25,0,17,83,210
26,0,18,89,220
27,0,19,96,240
28,0,20,103,260
29,0,21,108,260
30,0,22,115,280
31,0,23,121,290
32,0,24,130,330
33,0,25,137,380
34,0,26,144,530
35,0,27,149,530
36,0,28,159,580
37,0,29,168,620
38,0,30,180,690
39,0,31,187,710
40,0,32,199,780
41,0,33,208,820
42,0,34,214,880
43,0,35,221,900
44,0,35,233,1020
45,0,36,241,1100
46,0,37,246,1100
47,0,37,253,1170
48,0,38,263,1220
49,0,39,275,1290
50,0,40,286,1350
51,0,41,297,1470
52,0,42,305,1550
53,0,43,314,1590
54,0,43,322,1820
55,0,44,330,1850
56,0,45,343,1930
57,0,46,354,1990
58,0,47,365,2310
59,0,48,371,2320
60,0,49,383,2390
61,0,50,394,2450
62,0,51,400,2460
63,0,52,411,2520
64,0,53,421,2570
65,0,54,425,2600
66,0,55,435,2650
67,0,56,450,2770
68,0,57,460,2820
69,0,58,471,2880
70,0,59,485,3220
71,0,60,494,3260
72,0,61,500,3270
73,0,62,511,3330
74,0,63,520,3370
75,0,64,529,3410
76,0,65,535,3420
77,0,66,544,3460
78,0,67,554,3620
79,0,68,563,3660
80,0,69,574,3720
81,0,70,584,3770
82,0,71,594,3820
83,0,72,603,3860
84,0,73,613,3910
85,0,74,623,3960
86,0,75,629,3970
87,0,76,634,3970
88,0,77,642,4000
89,0,78,648,4010
90,0,78,662,4150
91,0,79,677,4250
92,0,80,688,4310
93,0,81,698,4360
94,0,82,708,4410
95,0,83,721,4490
96,0,84,729,4520
97,0,84,734,4570
98,0,85,743,4610
99,0,86,750,4630
