Time,Colony,Area,Population,Resources
1,0,4,4,0
1,1,7,4,30
1,2,5,3,20
2,0,5,4,10
2,1,9,4,50
2,2,7,3,40
3,0,6,4,20
3,1,11,4,70
3,2,9,3,60
4,0,8,4,40
4,1,13,4,90
4,2,10,3,70
5,0,11,4,70
5,1,15,4,110
5,2,11,3,80
6,0,12,4,80
6,1,17,5,80
6,2,12,3,90
7,0,12,4,80
7,1,19,5,100
7,2,13,4,50
8,0,12,4,80
8,1,23,5,140
8,2,15,4,70
9,0,13,4,90
9,1,27,5,180
9,2,16,4,80
10,0,14,5,50
10,1,30,6,160
10,2,17,4,90
11,0,15,5,60
11,1,32,7,130
11,2,18,4,100
12,0,17,5,80
12,1,34,7,150
12,2,20,5,70
13,0,19,6,50
13,1,37,8,130
13,2,22,5,90
14,0,20,6,60
14,1,40,9,110
14,2,24,6,60
15,0,20,6,60
15,1,42,10,80
15,2,25,6,70
16,0,21,6,70
16,1,46,10,120
16,2,26,6,80
17,0,21,6,70
17,1,48,11,90
17,2,26,6,80
18,0,21,6,70
18,1,49,12,50
18,2,26,6,80
19,0,22,6,80
19,1,50,12,60
19,2,26,6,80
20,0,22,6,80
20,1,52,12,80
20,2,26,6,80
21,0,23,6,90
21,1,53,12,90
21,2,27,6,90
22,0,23,6,90
22,1,56,13,70
22,2,28,6,100
23,0,23,6,90
23,1,57,13,80
23,2,30,7,70
24,0,23,6,90
24,1,57,13,80
24,2,30,7,70
25,0,23,6,90
25,1,58,13,90
25,2,30,7,70
26,0,23,6,90
26,1,58,13,90
26,2,30,7,70
27,0,24,7,50
27,1,58,13,90
27,2,30,7,70
28,0,25,7,60
28,1,58,13,90
28,2,30,7,70
29,0,27,7,80
29,1,59,13,100
29,2,30,7,70
30,0,28,7,90
30,1,60,14,60
30,2,30,7,70
31,0,29,7,100
31,1,62,14,80
31,2,31,7,80
32,0,29,8,50
32,1,62,14,80
32,2,31,7,80
33,0,29,8,50
33,1,62,14,80
33,2,31,7,80
34,0,29,8,50
34,1,62,14,80
34,2,31,7,80
35,0,29,8,50
35,1,63,14,90
35,2,32,7,90
36,0,29,8,50
36,1,63,14,90
36,2,32,7,90
37,0,29,8,50
37,1,63,14,90
37,2,32,7,90
38,0,29,8,50
38,1,63,14,90
38,2,32,7,90
39,0,29,8,50
39,1,64,15,50
39,2,32,7,90
40,0,29,8,50
40,1,64,15,50
40,2,32,7,90
41,0,29,8,50
41,1,64,15,50
41,2,32,7,90
42,0,30,8,60
42,1,64,15,50
42,2,32,7,90
43,0,30,8,60
43,1,65,15,60
43,2,32,7,90
44,0,31,8,70
44,1,66,15,70
44,2,32,7,90
45,0,32,8,80
45,1,67,15,80
45,2,32,7,90
46,0,33,8,90
46,1,69,15,100
46,2,32,7,90
47,0,34,9,50
47,1,70,16,60
47,2,32,7,90
48,0,34,9,50
48,1,71,16,70
48,2,32,7,90
49,0,34,9,50
49,1,71,16,70
49,2,32,7,90
50,0,34,9,50
50,1,71,16,70
50,2,32,7,90
51,0,34,9,50
51,1,71,16,70
51,2,32,7,90
52,0,34,9,50
52,1,71,16,70
52,2,32,7,90
53,0,34,9,50
53,1,72,16,80
53,2,33,8,50
54,0,34,9,50
54,1,73,16,90
54,2,33,8,50
55,0,34,9,50
55,1,73,16,90
55,2,33,8,50
56,0,34,9,50
56,1,73,16,90
56,2,33,8,50
57,0,34,9,50
57,1,73,16,90
57,2,33,8,50
58,0,34,9,50
58,1,74,17,50
58,2,33,8,50
59,0,34,9,50
59,1,74,17,50
59,2,33,8,50
60,0,34,9,50
60,1,74,17,50
60,2,33,8,50
61,0,34,9,50
61,1,74,17,50
61,2,33,8,50
62,0,34,9,50
62,1,75,17,60
62,2,33,8,50
63,0,34,9,50
63,1,75,17,60
63,2,33,8,50
64,0,34,9,50
64,1,75,17,60
64,2,33,8,50
65,0,34,9,50
65,1,75,17,60
65,2,33,8,50
66,0,34,9,50
66,1,75,17,60
66,2,33,8,50
67,0,34,9,50
67,1,75,17,60
67,2,33,8,50
68,0,34,9,50
68,1,75,17,60
68,2,33,8,50
69,0,34,9,50
69,1,75,17,60
69,2,33,8,50
70,0,34,9,50
70,1,75,17,60
70,2,33,8,50
71,0,34,9,50
71,1,75,17,60
71,2,33,8,50
72,0,34,9,50
72,1,75,17,60
72,2,33,8,50
73,0,34,9,50
73,1,76,17,70
73,2,34,8,60
74,0,34,9,50
74,1,76,17,70
74,2,34,8,60
75,0,34,9,50
75,1,76,17,70
75,2,34,8,60
76,0,34,9,50
76,1,76,17,70
76,2,35,8,70
77,0,34,9,50
77,1,76,17,70
77,2,35,8,70
78,0,34,9,50
78,1,76,17,70
78,2,35,8,70
79,0,34,9,50
79,1,76,17,70
79,2,35,8,70
80,0,34,9,50
80,1,76,17,70
80,2,36,8,80
81,0,34,9,50
81,1,76,17,70
81,2,37,8,90
82,0,34,9,50
82,1,76,17,70
82,2,37,8,90
83,0,34,9,50
83,1,77,17,80
83,2,37,8,90
84,0,34,9,50
84,1,78,17,90
84,2,37,8,90
85,0,34,9,50
85,1,79,17,100
85,2,37,8,90
86,0,34,9,50
86,1,80,18,60
86,2,37,8,90
87,0,34,9,50
87,1,80,18,60
87,2,38,9,50
88,0,34,9,50
88,1,80,18,60
88,2,39,9,60
89,0,34,9,50
89,1,80,18,60
89,2,40,9,70
90,0,34,9,50
90,1,80,18,60
90,2,40,9,70
91,0,34,9,50
91,1,80,18,60
91,2,40,9,70
92,0,34,9,50
92,1,80,18,60
92,2,40,9,70
93,0,34,9,50
93,1,80,18,60
93,2,40,9,70
94,0,34,9,50
94,1,81,18,70
94,2,40,9,70
95,0,34,9,50
95,1,82,18,80
95,2,40,9,70
96,0,34,9,50
96,1,82,18,80
96,2,40,9,70
97,0,34,9,50
97,1,82,18,80
97,2,40,9,70
98,0,34,9,50
98,1,82,18,80
98,2,40,9,70
99,0,34,9,50
99,1,82,18,80
99,2,40,9,70
100,0,34,9,50
100,1,82,18,80
100,2,40,9,70
101,0,34,9,50
101,1,82,18,80
101,2,40,9,70
102,0,34,9,50
102,1,82,18,80
102,2,40,9,70
103,0,34,9,50
103,1,82,18,80
103,2,40,9,70
104,0,34,9,50
104,1,82,18,80
104,2,40,9,70
105,0,34,9,50
105,1,82,18,80
105,2,40,9,70
106,0,34,9,50
106,1,83,18,90
106,2,41,9,80
107,0,34,9,50
107,1,84,19,50
107,2,41,9,80
108,0,34,9,50
108,1,84,19,50
108,2,41,9,80
109,0,34,9,50
109,1,84,19,50
109,2,41,9,80
110,0,34,9,50
110,1,84,19,50
110,2,41,9,80
111,0,34,9,50
111,1,84,19,50
111,2,41,9,80
112,0,34,9,50
112,1,84,19,50
112,2,41,9,80
113,0,34,9,50
113,1,84,19,50
113,2,41,9,80
114,0,34,9,50
114,1,84,19,50
114,2,41,9,80
115,0,34,9,50
115,1,84,19,50
115,2,41,9,80
116,0,34,9,50
116,1,84,19,50
116,2,41,9,80
117,0,34,9,50
117,1,84,19,50
117,2,42,9,90
118,0,34,9,50
118,1,84,19,50
118,2,42,9,90
119,0,34,9,50
119,1,85,19,60
119,2,42,9,90
120,0,34,9,50
120,1,86,19,70
120,2,42,9,90
121,0,34,9,50
121,1,86,19,70
121,2,42,9,90
122,0,34,9,50
122,1,86,19,70
122,2,42,9,90
123,0,34,9,50
123,1,86,19,70
123,2,42,9,90
124,0,34,9,50
124,1,86,19,70
124,2,42,9,90
125,0,34,9,50
125,1,86,19,70
125,2,42,9,90
